,Correlation,Mutual_Info,RF_Importance,Correlation_Norm,Mutual_Info_Norm,RF_Importance_Norm,Contribution_Value
Global_intensity,0.9995159793858678,3.534192704205417,0.9992988508630408,1.0,1.0,1.0,1.0
Voltage,0.6606313381644093,0.29137110083410533,0.0001496808365379311,0.6351425771867106,0.06965845952542357,0.00012327239559920388,0.2349747697025778
Sub_metering_3,0.596437068957403,0.49998658974168997,0.00011560830053119751,0.5660283336558423,0.12950870078302631,8.917504875089273e-05,0.23187540316253985
Sub_metering_1,0.4383022821516843,0.10831796281211115,0.00012231510418611922,0.3957737875568965,0.017141867728009397,9.58867361468703e-05,0.1376705140070176
Sub_metering_2,0.4210008007041281,0.16927749346358434,5.605506208531031e-05,0.37714628673816786,0.034630706335084915,2.9578444998583355e-05,0.13726885717275045
Global_reactive_power,0.382247665117915,0.12193359253232128,8.237546399280305e-05,0.3354230350589048,0.021048091220310865,5.5918012820871984e-05,0.11884234809734552
hour_sin,0.2764539539361584,0.07892867118635749,5.361963589646201e-05,0.221521086972669,0.008710297265997313,2.7141245388075636e-05,0.07675284182801813
day_sin,0.19231411528420206,0.08741204009239745,5.4180207972474514e-05,0.13093260655104613,0.011144113078823459,2.77022256598552e-05,0.04736814061850981
day_cos,0.07733346357024584,0.0485678424830045,2.6498139761679815e-05,0.007139612845168841,0.0,0.0,0.002379870948389614
hour_cos,0.0707020920091599,0.048682404066849205,4.0816385995268975e-05,0.0,3.286687133281958e-05,1.4328672453078666e-05,1.573184792863275e-05
